filename,global_quality_mean
0000010.jpg,1.6995
0000011.jpg,1.676
0000013.jpg,2.6412
0000016.jpg,1.6987
0000019.jpg,1.61
0000034.jpg,1.9526
0000038.jpg,2.8969
0000039.jpg,1.8369
0000040.jpg,1.6776
0000057.jpg,1.9015
0000059.jpg,1.5561
0000066.jpg,1.5395
0000075.jpg,2.7778
0000081.jpg,1.8088
0000085.jpg,1.6492
0000093.jpg,3.2115
0000097.jpg,1.7644
0000100.jpg,1.7155
0000104.jpg,2.374
0000117.jpg,2.5617
0000122.jpg,3.3268
0000134.jpg,1.6997
0000135.jpg,2.0482
0000139.jpg,2.7382
0000144.jpg,3.5715
0000148.jpg,2.8673
0000154.jpg,2.4236
0000158.jpg,2.7067
0000159.jpg,3.0576
0000165.jpg,3.4629
0000166.jpg,3.3044
0000169.jpg,3.689
0000170.jpg,3.7333
0000181.jpg,3.2977
0000185.jpg,3.583
0000189.jpg,3.2202
0000195.jpg,3.4794
0000197.jpg,4.2184
0000205.jpg,3.7505
0000209.jpg,3.1744
0000218.jpg,1.9723
0000219.jpg,3.6521
0000222.jpg,1.9527
0000224.jpg,2.0252
0000230.jpg,3.7413
0000243.jpg,4.3389
0000248.jpg,3.2243
0000251.jpg,2.5239
0000252.jpg,2.9577
0000254.jpg,2.8563
0000255.jpg,3.0451
0000259.jpg,3.2446
0000264.jpg,3.2195
0000273.jpg,2.736
0000274.jpg,2.6898
0000275.jpg,3.1443
0000279.jpg,2.834
0000285.jpg,1.9816
0000286.jpg,3.463
0000291.jpg,3.3856
0000296.jpg,2.9405
0000309.jpg,3.723
0000311.jpg,2.8798
0000321.jpg,2.9728
0000322.jpg,3.0202
0000353.jpg,3.6018
0000355.jpg,3.7178
0000357.jpg,4.0172
0000359.jpg,3.9085
0000366.jpg,3.5103
0000371.jpg,3.6502
0000375.jpg,3.9932
0000381.jpg,4.0444
0000387.jpg,3.6547
0000389.jpg,4.0684
0000391.jpg,3.6509
0000398.jpg,4.0898
0000400.jpg,3.7533
0000405.jpg,3.9666
0000406.jpg,2.7877
0000408.jpg,4.0104
0000412.jpg,3.9649
0000416.jpg,4.0634
0000427.jpg,3.9714
0000434.jpg,4.024
0000439.jpg,3.9373
0000441.jpg,3.8696
0000445.jpg,4.1164
0000450.jpg,3.7451
0000453.jpg,3.9781
0000455.jpg,4.0587
0000459.jpg,3.7211
0000461.jpg,3.8926
0000463.jpg,3.8959
0000481.jpg,3.678
0000496.jpg,3.714
0000499.jpg,3.1363
0000502.jpg,3.6536
0000528.jpg,3.4496
0000531.jpg,3.7599
0000532.jpg,3.5607
0000535.jpg,3.4151
0000541.jpg,3.3593
0000556.jpg,3.7043
0000558.jpg,1.6443
0000562.jpg,1.7606
0000574.jpg,1.7376
0000579.jpg,1.6661
0000584.jpg,1.784
0000586.jpg,1.7088
0000591.jpg,1.7427
0000593.jpg,2.5603
0000607.jpg,1.5459
0000611.jpg,1.5929
0000612.jpg,2.3629
0000619.jpg,2.6946
0000621.jpg,2.5395
0000626.jpg,2.093
0000642.jpg,2.3776
0000644.jpg,1.4686
0000660.jpg,2.6959
0000661.jpg,1.9473
0000663.jpg,1.6145
0000675.jpg,2.0783
0000676.jpg,1.8283
0000677.jpg,2.4627
0000686.jpg,2.9441
0000689.jpg,2.7949
0000690.jpg,2.787
0000724.jpg,2.942
0000726.jpg,2.5528
0000751.jpg,3.0004
0000752.jpg,2.8595
0000754.jpg,2.816
0000756.jpg,3.2268
0000764.jpg,3.6333
0000766.jpg,2.6707
0000771.jpg,3.7757
0000774.jpg,2.4246
0000776.jpg,3.5368
0000780.jpg,2.7215
0000801.jpg,2.9781
0000812.jpg,3.2096
0000814.jpg,3.0376
0000817.jpg,3.0071
0000821.jpg,3.0284
0000825.jpg,2.3378
0000837.jpg,3.6538
0000839.jpg,3.0627
0000840.jpg,3.3399
0000847.jpg,3.1215
0000855.jpg,3.0452
0000862.jpg,3.2347
0000868.jpg,3.6086
0000870.jpg,3.6335
0000872.jpg,2.6857
0000874.jpg,3.1579
0000880.jpg,3.1649
0000881.jpg,3.5829
0000885.jpg,3.3206
0000891.jpg,2.9016
0000894.jpg,3.0654
0000898.jpg,3.4489
0000903.jpg,3.7346
0000908.jpg,3.2622
0000911.jpg,3.2303
0000919.jpg,3.4023
0000928.jpg,3.3588
0000934.jpg,3.5074
0000948.jpg,3.0465
0000964.jpg,3.3834
0000966.jpg,2.9872
0000967.jpg,3.1403
0000969.jpg,3.535
0000971.jpg,3.52
0000974.jpg,4.0453
0000976.jpg,3.937
0000986.jpg,3.8441
0000993.jpg,3.8298
0001010.jpg,3.7541
0001014.jpg,3.7465
0001015.jpg,4.0481
0001019.jpg,3.7093
0001028.jpg,3.9478
0001030.jpg,3.6718
0001037.jpg,3.5648
0001040.jpg,3.9053
0001041.jpg,3.5562
0001050.jpg,4.0874
0001058.jpg,3.6895
0001060.jpg,3.3272
0001062.jpg,3.7365
0001064.jpg,3.636
0001074.jpg,3.2478
0001080.jpg,4.0411
0001081.jpg,3.8073
0001085.jpg,3.4653
0001089.jpg,3.2303
0001090.jpg,3.3894
0001100.jpg,3.4506
0001105.jpg,3.5635
0001118.jpg,3.7556
0001129.jpg,3.8091
0001134.jpg,3.8125
0001150.jpg,2.4445
0001154.jpg,1.7838
0001158.jpg,1.8763
0001169.jpg,2.1431
0001177.jpg,2.5483
0001188.jpg,1.7819
0001198.jpg,2.2687
0001203.jpg,2.7909
0001209.jpg,3.0181
0001212.jpg,2.0615
0001213.jpg,1.6011
0001216.jpg,1.7993
0001218.jpg,2.7949
0001227.jpg,2.4118
0001228.jpg,2.5836
0001229.jpg,2.0869
0001233.jpg,1.551
0001234.jpg,2.0975
0001236.jpg,1.9115
0001240.jpg,1.7561
0001255.jpg,2.1219
0001257.jpg,1.7901
0001261.jpg,2.8057
0001269.jpg,2.0214
0001271.jpg,2.1904
0001274.jpg,2.2719
0001278.jpg,2.3799
0001284.jpg,1.719
0001290.jpg,3.2301
0001291.jpg,2.7679
0001300.jpg,2.5911
0001304.jpg,2.3653
0001305.jpg,2.9923
0001313.jpg,3.2145
0001320.jpg,2.0564
0001321.jpg,2.1007
0001322.jpg,3.6418
0001338.jpg,4.2362
0001343.jpg,4.0774
0001345.jpg,2.8192
0001351.jpg,1.4743
0001352.jpg,2.7511
0001356.jpg,2.3897
0001358.jpg,2.5254
0001366.jpg,3.782
0001367.jpg,2.4415
0001373.jpg,3.056
0001376.jpg,2.6156
0001377.jpg,2.2005
0001388.jpg,3.3775
0001400.jpg,2.7211
0001402.jpg,2.8124
0001403.jpg,2.9432
0001411.jpg,3.389
0001432.jpg,3.4867
0001434.jpg,2.9798
0001436.jpg,2.207
